epoch,train_loss,val_epoch,val_satisfaction
1,6.128986,
2,5.470356,
3,5.397818,
4,5.353638,
5,5.317576,0.14181346442714735
6,5.290541,
7,5.265506,
8,5.247663,
9,5.237785,
10,5.228830,0.1470708725931995
11,5.223348,
12,5.216232,
13,5.211200,
14,5.205927,
15,5.200978,0.165710774272839
16,5.196286,
17,5.191789,
18,5.186406,
19,5.180940,
20,5.176086,0.21555373480813875
21,5.170931,
22,5.165606,
23,5.159119,
24,5.153348,
25,5.147604,0.23883654240065547
26,5.142449,
27,5.137023,
28,5.132131,
29,5.126716,
30,5.122125,0.2787791888570258
31,5.117227,
32,5.112447,
33,5.108225,
34,5.103791,
35,5.100623,0.2739997268878875
36,5.096288,
37,5.092775,
38,5.088231,
39,5.085009,
40,5.080966,0.2700396012563157
41,5.077727,
42,5.074937,
43,5.071355,
44,5.069855,
45,5.066378,0.2576812781646866
46,5.063973,
47,5.063845,
48,5.061187,
49,5.059353,
50,5.056281,0.27823296463198144
51,5.055205,
52,5.053880,
53,5.052630,
54,5.051237,
55,5.050448,0.2767991260412399
56,5.049713,
57,5.048667,
58,5.049691,
59,5.048881,
60,5.047550,0.277686740406937
