epoch,train_loss,val_epoch,val_satisfaction
1,5.126567,
2,0.510543,
3,0.222634,
4,0.220307,
5,0.227293,0.1379898948518367
6,0.228054,
7,0.226147,
8,0.223987,
9,0.225674,
10,0.228380,0.14242796668032226
11,0.232645,
12,0.241308,
13,0.228735,
14,0.222945,
15,0.220985,0.14215485456780008
16,0.210573,
17,0.211189,
18,0.209035,
19,0.206035,
20,0.203173,0.13280076471391505
21,0.200931,
22,0.198609,
23,0.195805,
24,0.193920,
25,0.191687,0.13416632527652603
26,0.192547,
27,0.188968,
28,0.189613,
29,0.186088,
30,0.184171,0.13129864809504302
31,0.182797,
32,0.181658,
33,0.180923,
34,0.177764,
35,0.177907,0.13594155400792024
36,0.176570,
37,0.174094,
38,0.174643,
39,0.172554,
40,0.171641,0.13204970640447905
41,0.170990,
42,0.170221,
43,0.167805,
44,0.167326,
45,0.166778,0.13478082752970094
46,0.165588,
47,0.164561,
48,0.164388,
49,0.163213,
50,0.162024,0.13334698893895944
51,0.162107,
52,0.161521,
53,0.160505,
54,0.161095,
55,0.159844,0.13956028949883928
56,0.159319,
57,0.159919,
58,0.160474,
59,0.159138,
60,0.159273,0.13423460330465656
