epoch,train_loss,val_epoch,val_satisfaction
1,6.688347,
2,5.326249,
3,5.281993,
4,5.260197,
5,5.247625,0.14010651372388366
6,5.237196,
7,5.230294,
8,5.221510,
9,5.216069,
10,5.211387,0.14891437935272428
11,5.207611,
12,5.205194,
13,5.201613,
14,5.199123,
15,5.196421,0.14242796668032226
16,5.195261,
17,5.193434,
18,5.191405,
19,5.190398,
20,5.189717,0.14113068414584187
21,5.188351,
22,5.187022,
23,5.186864,
24,5.185708,
25,5.184735,0.1446128635804998
26,5.183775,
27,5.182701,
28,5.182157,
29,5.182167,
30,5.180666,0.148504711183941
31,5.181034,
32,5.179204,
33,5.179097,
34,5.178322,
35,5.177174,0.15109927625290182
36,5.176381,
37,5.175985,
38,5.175219,
39,5.174363,
40,5.173862,0.14338385907414994
41,5.173101,
42,5.172683,
43,5.171802,
44,5.171203,
45,5.170395,0.15000682780281305
46,5.169739,
47,5.169170,
48,5.168436,
49,5.168102,
50,5.167431,0.14700259456506895
51,5.166963,
52,5.166141,
53,5.166200,
54,5.165497,
55,5.165340,0.15635668441895398
56,5.164836,
57,5.164139,
58,5.164311,
59,5.164096,
60,5.164034,0.15355728526560153
